opr_land,country_dk,country_en,group_dk,group_en
5609,Letland                                  ,Lativa,vestlige,west
5611,Litauen                                  ,Lithuania,vestlige,west
5621,Sao Tome og Principe                     ,Sao Tome og Principe                     ,andre,other
5623,Salomonøerne                             ,The Salomon Islands,andre,other
5625,Skt. Kitts og Nevis                      ,Skt. Kitts og Nevis                      ,andre,other
5700,Rusland                                  ,Russia,vestlige,west
5704,Ukraine                                  ,Ukraine                                  ,vestlige,west
5706,Hviderusland                             ,Belerus,vestlige,west
5708,Armenien                                 ,Armenien                                 ,andre,other
5710,Aserbajdsjan                             ,Azerbaijan,andre,other
5712,Moldova                                  ,Moldova                                  ,vestlige,west
5714,Usbekistan                               ,Uzbekistan,andre,other
5716,Kasakhstan                               ,Kasakhstan                               ,andre,other
5718,Turkmenistan                             ,Turkmenistan                             ,andre,other
5720,Kirgisistan                              ,kyrgyzstan,andre,other
5722,Tadsjikistan                             ,Tajikistan,andre,other
5724,Georgien                                 ,Georgia,andre,other
5750,Kroatien                                 ,Croatia,vestlige,west
5752,Slovenien                                ,Slovenia,vestlige,west
5754,Bosnien-Hercegovina                      ,Bosnien-Hercegovina                      ,vestlige,west
5756,Makedonien                               ,Macedonia,vestlige,west
5757,Serbien                                  ,Serbia,vestlige,west
5758,"Jugoslavien, Forbundsrepublikken         ",Federal Republic of Yugoslavia,vestlige,west
5759,Montenegro                               ,Montenegro                               ,vestlige,west
5761,Kosovo                                   ,Kosovo                                   ,vestlige,west
5776,Tjekkiet                                 ,Czech Republic,vestlige,west
5778,Slovakiet                                ,Slovakia,vestlige,west
5779,Cookøerne                                ,The Cook Islands,andre,other
5800,Land ukendt (2)                          ,Unknown country,andre,other
5901,Færøerne uoplyst                         ,Faroe Islands - unknown,danmark,denmark
5902,Færøerne                                 ,Faroe Islands,danmark,denmark
5999,Land ukendt (1),Unknown country,andre,other
.,Land ukendt (1),Unknown country,andre,other
5184,Østtyskland,East Germany,vestlige,west
5428,Hongkong,Hong Kong,fjernøstlige,far east
5528,Guadeloupe,Guadeloupe,vestlige,west
