"sex","grouping","year","count","weight"
"male","65 - 74",2013,290784,0.175
"male","65 - 74",2014,299606,0.175
"male","65 - 74",2015,306045,0.175
"male","65 - 74",2016,311303,0.175
"male","75 - 84",2004,112511,0.108333333333333
"male","75 - 84",2005,113422,0.108333333333333
"male","75 - 84",2006,113633,0.108333333333333
"male","75 - 84",2007,114033,0.108333333333333
"male","75 - 84",2008,114971,0.108333333333333
"male","75 - 84",2009,116182,0.108333333333333
"male","75 - 84",2010,117857,0.108333333333333
"male","75 - 84",2011,120125,0.108333333333333
"male","75 - 84",2012,123289,0.108333333333333
"male","75 - 84",2013,126893,0.108333333333333
"male","75 - 84",2014,131300,0.108333333333333
"male","75 - 84",2015,136370,0.108333333333333
"male","75 - 84",2016,142262,0.108333333333333
"male","85+",2004,28675,0.0416666666666667
"male","85+",2005,28888,0.0416666666666667
"male","85+",2006,30140,0.0416666666666667
"male","85+",2007,31205,0.0416666666666667
"male","85+",2008,31945,0.0416666666666667
"male","85+",2009,32695,0.0416666666666667
"male","85+",2010,33555,0.0416666666666667
"male","85+",2011,34512,0.0416666666666667
"male","85+",2012,35597,0.0416666666666667
"male","85+",2013,36651,0.0416666666666667
"male","85+",2014,37748,0.0416666666666667
"male","85+",2015,38985,0.0416666666666667
"male","85+",2016,39862,0.0416666666666667
