"outcome","aggr_level","sex","grouping","year","count_n_patients","rate_n_patients","mean3y_count_n_patients","mean3y_rate_n_patients"
"m1","kom","male","Thisted","2013",1063,8380,1113,8896
"m1","kom","male","Thisted","2014",1076,8398,1084,8566
"m1","kom","male","Thisted","2015",1005,7763,1048,8175
"m1","kom","male","Thisted","2016",952,7243,1011,7796
"m1","kom","male","Tårnby","2007",793,7724,NA,NA
"m1","kom","male","Tårnby","2008",801,7721,NA,NA
"m1","kom","male","Tårnby","2009",778,7456,791,7636
"m1","kom","male","Tårnby","2010",815,7645,798,7607
"m1","kom","male","Tårnby","2011",817,7576,803,7556
"m1","kom","male","Tårnby","2012",770,7056,801,7423
"m1","kom","male","Tårnby","2013",802,7300,796,7309
"m1","kom","male","Tårnby","2014",871,7723,814,7366
"m1","kom","male","Tårnby","2015",796,7034,823,7350
"m1","kom","male","Tårnby","2016",796,6956,821,7234
"m1","kom","male","Tønder","2007",856,8111,NA,NA
"m1","kom","male","Tønder","2008",860,7968,NA,NA
"m1","kom","male","Tønder","2009",907,8221,874,8099
"m1","kom","male","Tønder","2010",865,7797,877,7992
"m1","kom","male","Tønder","2011",830,7488,867,7831
"m1","kom","male","Tønder","2012",842,7465,846,7582
"m1","kom","male","Tønder","2013",849,7403,840,7454
"m1","kom","male","Tønder","2014",832,7220,841,7358
"m1","kom","male","Tønder","2015",816,6951,832,7187
"m1","kom","male","Tønder","2016",807,6794,818,6986
"m1","kom","male","Vallensbæk","2007",215,7084,NA,NA
"m1","kom","male","Vallensbæk","2008",226,7318,NA,NA
"m1","kom","male","Vallensbæk","2009",240,7673,227,7388
"m1","kom","male","Vallensbæk","2010",242,7017,236,7334
"m1","kom","male","Vallensbæk","2011",244,6714,242,7086
"m1","kom","male","Vallensbæk","2012",252,6840,246,6854
"m1","kom","male","Vallensbæk","2013",270,7016,255,6870
"m1","kom","male","Vallensbæk","2014",251,6306,258,6719
"m1","kom","male","Vallensbæk","2015",258,6468,260,6581
"m1","kom","male","Vallensbæk","2016",262,6351,257,6369
"m1","kom","male","Varde","2007",1071,8397,NA,NA
"m1","kom","male","Varde","2008",1033,7903,NA,NA
"m1","kom","male","Varde","2009",1009,7557,1038,7941
"m1","kom","male","Varde","2010",1012,7440,1018,7631
"m1","kom","male","Varde","2011",1003,7249,1008,7408
"m1","kom","male","Varde","2012",994,7025,1003,7231
"m1","kom","male","Varde","2013",990,6889,996,7050
"m1","kom","male","Varde","2014",982,6701,989,6865
"m1","kom","male","Varde","2015",961,6490,978,6689
"m1","kom","male","Varde","2016",889,5884,944,6353
"m1","kom","male","Vejen","2007",912,8789,NA,NA
"m1","kom","male","Vejen","2008",865,8112,NA,NA
"m1","kom","male","Vejen","2009",819,7544,865,8141
"m1","kom","male","Vejen","2010",800,7157,828,7595
"m1","kom","male","Vejen","2011",842,7396,820,7361
"m1","kom","male","Vejen","2012",785,6720,809,7087
"m1","kom","male","Vejen","2013",791,6753,806,6954
"m1","kom","male","Vejen","2014",821,6873,799,6782
"m1","kom","male","Vejen","2015",809,6617,807,6747
"m1","kom","male","Vejen","2016",831,6666,820,6718
"m1","kom","male","Vejle","2007",2151,8852,NA,NA
"m1","kom","male","Vejle","2008",2245,8905,NA,NA
"m1","kom","male","Vejle","2009",2181,8529,2192,8760
"m1","kom","male","Vejle","2010",2179,8345,2202,8590
"m1","kom","male","Vejle","2011",2207,8278,2189,8385
"m1","kom","male","Vejle","2012",2160,7875,2182,8160
"m1","kom","male","Vejle","2013",2129,7620,2165,7917
"m1","kom","male","Vejle","2014",2206,7644,2165,7708
"m1","kom","male","Vejle","2015",2185,7444,2173,7565
"m1","kom","male","Vejle","2016",2196,7376,2196,7486
"m1","kom","male","Vesthimmerlands","2007",878,8750,NA,NA
"m1","kom","male","Vesthimmerlands","2008",876,8522,NA,NA
"m1","kom","male","Vesthimmerlands","2009",792,7594,849,8282
"m1","kom","male","Vesthimmerlands","2010",785,7403,818,7833
"m1","kom","male","Vesthimmerlands","2011",786,7327,788,7434
"m1","kom","male","Vesthimmerlands","2012",797,7362,789,7360
"m1","kom","male","Vesthimmerlands","2013",747,6750,777,7147
"m1","kom","male","Vesthimmerlands","2014",722,6464,755,6855
"m1","kom","male","Vesthimmerlands","2015",687,6064,719,6420
"m1","kom","male","Vesthimmerlands","2016",722,6346,710,6292
"m1","kom","male","Viborg","2007",1883,8556,NA,NA
"m1","kom","male","Viborg","2008",1956,8575,NA,NA
"m1","kom","male","Viborg","2009",1891,8254,1910,8456
"m1","kom","male","Viborg","2010",1970,8406,1939,8411
"m1","kom","male","Viborg","2011",1972,8382,1944,8354
"m1","kom","male","Viborg","2012",1972,8212,1971,8334
"m1","kom","male","Viborg","2013",2005,8114,1983,8227
"m1","kom","male","Viborg","2014",2024,8038,2000,8114
"m1","kom","male","Viborg","2015",2011,7842,2013,7994
"m1","kom","male","Viborg","2016",1993,7640,2009,7839
"m1","kom","male","Vordingborg","2007",1030,7873,NA,NA
"m1","kom","male","Vordingborg","2008",1076,8039,NA,NA
"m1","kom","male","Vordingborg","2009",1077,8025,1061,7974
"m1","kom","male","Vordingborg","2010",1084,7920,1079,7988
"m1","kom","male","Vordingborg","2011",1037,7496,1066,7811
"m1","kom","male","Vordingborg","2012",1039,7445,1053,7617
"m1","kom","male","Vordingborg","2013",1122,8002,1066,7643
"m1","kom","male","Vordingborg","2014",1062,7526,1074,7658
"m1","kom","male","Vordingborg","2015",1079,7476,1088,7668
"m1","kom","male","Vordingborg","2016",1056,7172,1066,7381
"m1","kom","male","Ærø","2007",173,7296,NA,NA
"m1","kom","male","Ærø","2008",144,5831,NA,NA
"m1","kom","male","Ærø","2009",155,6408,157,6499
"m1","kom","male","Ærø","2010",137,5667,145,5978
"m1","kom","male","Ærø","2011",134,5291,142,5804
"m1","kom","male","Ærø","2012",138,5646,136,5531
"m1","kom","male","Ærø","2013",146,5990,139,5624
"m1","kom","male","Ærø","2014",136,5540,140,5716
"m1","kom","male","Ærø","2015",139,5501,140,5697
"m1","kom","male","Ærø","2016",139,5650,138,5578
"m1","national","female","national","2004",131636,8354,NA,NA
"m1","national","female","national","2005",129166,8148,NA,NA
"m1","national","female","national","2006",129890,8142,NA,NA
"m1","national","female","national","2007",127347,7925,NA,NA
"m1","national","female","national","2008",128981,7964,NA,NA
"m1","national","female","national","2009",127082,7786,NA,NA
"m1","national","female","national","2010",124943,7598,NA,NA
"m1","national","female","national","2011",125572,7576,NA,NA
"m1","national","female","national","2012",123919,7430,NA,NA
"m1","national","female","national","2013",122647,7311,NA,NA
"m1","national","female","national","2014",123858,7337,NA,NA
"m1","national","female","national","2015",120822,7110,NA,NA
"m1","national","female","national","2016",119232,6971,NA,NA
"m1","national","male","national","2004",108994,7369,NA,NA
"m1","national","male","national","2005",107376,7202,NA,NA
"m1","national","male","national","2006",107806,7174,NA,NA
"m1","national","male","national","2007",106206,7001,NA,NA
"m1","national","male","national","2008",107381,7010,NA,NA
"m1","national","male","national","2009",105764,6840,NA,NA
"m1","national","male","national","2010",105436,6766,NA,NA
"m1","national","male","national","2011",105669,6724,NA,NA
"m1","national","male","national","2012",104677,6614,NA,NA
"m1","national","male","national","2013",103799,6517,NA,NA
"m1","national","male","national","2014",105649,6587,NA,NA
"m1","national","male","national","2015",103364,6392,NA,NA
"m1","national","male","national","2016",102357,6279,NA,NA
"m1","region","female","Hovedstaden","2007",35915,7575,32118,NA
"m1","region","female","Hovedstaden","2008",36553,7674,34251,NA
"m1","region","female","Hovedstaden","2009",36154,7529,36207,7592
"m1","region","female","Hovedstaden","2010",35405,7317,36037,7505
"m1","region","female","Hovedstaden","2011",35606,7303,35722,7382
"m1","region","female","Hovedstaden","2012",35301,7182,35437,7267
"m1","region","female","Hovedstaden","2013",34890,7025,35266,7168
"m1","region","female","Hovedstaden","2014",35587,7092,35259,7099
"m1","region","female","Hovedstaden","2015",34659,6830,35045,6981
"m1","region","female","Hovedstaden","2016",34467,6728,34904,6881
"m1","region","female","Midtjydlland","2007",29356,8721,19422,NA
"m1","region","female","Midtjydlland","2008",29561,8658,24478,NA
"m1","region","female","Midtjydlland","2009",29308,8483,29408,8619
"m1","region","female","Midtjydlland","2010",28867,8248,29245,8460
"m1","region","female","Midtjydlland","2011",29001,8184,29059,8303
"m1","region","female","Midtjydlland","2012",28973,8081,28947,8170
"m1","region","female","Midtjydlland","2013",28717,7915,28897,8058
"m1","region","female","Midtjydlland","2014",28759,7835,28816,7942
"m1","region","female","Midtjydlland","2015",28307,7625,28594,7789
"m1","region","female","Midtjydlland","2016",27642,7359,28236,7603
"m1","region","female","Nordjylland","2007",14103,8209,9057,NA
"m1","region","female","Nordjylland","2008",14194,8203,11626,NA
"m1","region","female","Nordjylland","2009",13833,7935,14043,8114
"m1","region","female","Nordjylland","2010",13459,7673,13829,7936
"m1","region","female","Nordjylland","2011",13513,7684,13602,7763
"m1","region","female","Nordjylland","2012",12984,7344,13319,7565
"m1","region","female","Nordjylland","2013",12873,7236,13123,7418
"m1","region","female","Nordjylland","2014",13005,7268,12954,7281
"m1","region","female","Nordjylland","2015",12518,6935,12799,7144
"m1","region","female","Nordjylland","2016",12287,6777,12603,6991
"m1","region","female","Sjælland","2007",19340,7895,9327,NA
"m1","region","female","Sjælland","2008",19846,7989,14502,NA
"m1","region","female","Sjælland","2009",19623,7820,19603,7899
"m1","region","female","Sjælland","2010",19310,7611,19593,7804
"m1","region","female","Sjælland","2011",19669,7678,19534,7702
"m1","region","female","Sjælland","2012",19210,7427,19396,7572
"m1","region","female","Sjælland","2013",19163,7341,19347,7479
"m1","region","female","Sjælland","2014",19291,7323,19221,7360
"m1","region","female","Sjælland","2015",19000,7142,19151,7266
"m1","region","female","Sjælland","2016",18950,7033,19080,7164
"m1","region","female","Syddanmark","2007",28618,8129,16761,NA
"m1","region","female","Syddanmark","2008",28816,8114,22799,NA
"m1","region","female","Syddanmark","2009",28153,7851,28529,8029
"m1","region","female","Syddanmark","2010",27892,7720,28287,7893
"m1","region","female","Syddanmark","2011",27769,7618,27938,7728
"m1","region","female","Syddanmark","2012",27443,7470,27701,7600
"m1","region","female","Syddanmark","2013",26996,7282,27403,7454
"m1","region","female","Syddanmark","2014",27208,7276,27216,7340
"m1","region","female","Syddanmark","2015",26327,7001,26844,7184
"m1","region","female","Syddanmark","2016",25878,6824,26471,7031
"m1","region","female","Unknown","2007",NA,NA,NA,NA
"m1","region","female","Unknown","2008",NA,NA,NA,NA
"m1","region","female","Unknown","2009",NA,NA,NA,NA
"m1","region","female","Unknown","2010",NA,NA,NA,NA
"m1","region","female","Unknown","2011",NA,NA,NA,NA
"m1","region","female","Unknown","2012",NA,NA,NA,NA
"m1","region","female","Unknown","2013",NA,NA,NA,NA
"m1","region","female","Unknown","2014",NA,NA,NA,NA
"m1","region","female","Unknown","2015",NA,NA,NA,NA
"m1","region","female","Unknown","2016",NA,NA,NA,NA
"m1","region","male","Hovedstaden","2007",28328,7803,24636,NA
"m1","region","male","Hovedstaden","2008",28450,7680,26521,NA
"m1","region","male","Hovedstaden","2009",28175,7485,28318,7653
"m1","region","male","Hovedstaden","2010",28116,7335,28247,7497
"m1","region","male","Hovedstaden","2011",28208,7224,28166,7347
"m1","region","male","Hovedstaden","2012",28377,7099,28234,7217
"m1","region","male","Hovedstaden","2013",28148,6891,28244,7068
"m1","region","male","Hovedstaden","2014",28553,6857,28359,6946
"m1","region","male","Hovedstaden","2015",28271,6695,28324,6812
"m1","region","male","Hovedstaden","2016",27838,6475,28221,6673
"m1","region","male","Midtjydlland","2007",25020,8841,16195,NA
"m1","region","male","Midtjydlland","2008",25401,8743,20763,NA
"m1","region","male","Midtjydlland","2009",25049,8465,25157,8678
"m1","region","male","Midtjydlland","2010",25041,8300,25164,8498
"m1","region","male","Midtjydlland","2011",25100,8165,25063,8307
"m1","region","male","Midtjydlland","2012",24847,7933,24996,8129
"m1","region","male","Midtjydlland","2013",24703,7707,24883,7931
"m1","region","male","Midtjydlland","2014",25346,7746,24965,7791
"m1","region","male","Midtjydlland","2015",24621,7386,24890,7610
"m1","region","male","Midtjydlland","2016",24394,7205,24787,7442
"m1","region","male","Nordjylland","2007",11904,8168,7496,NA
"m1","region","male","Nordjylland","2008",12075,8124,9753,NA
"m1","region","male","Nordjylland","2009",11822,7866,11934,8051
"m1","region","male","Nordjylland","2010",11626,7622,11841,7867
"m1","region","male","Nordjylland","2011",11672,7533,11707,7670
"m1","region","male","Nordjylland","2012",11229,7146,11509,7430
"m1","region","male","Nordjylland","2013",11066,6937,11322,7201
"m1","region","male","Nordjylland","2014",11188,6913,11161,6996
"m1","region","male","Nordjylland","2015",10852,6606,11035,6815
"m1","region","male","Nordjylland","2016",10776,6484,10939,6664
"m1","region","male","Sjælland","2007",16535,7977,7792,NA
"m1","region","male","Sjælland","2008",16805,7928,12281,NA
"m1","region","male","Sjælland","2009",16697,7745,16679,7881
"m1","region","male","Sjælland","2010",16711,7613,16738,7759
"m1","region","male","Sjælland","2011",16754,7492,16721,7614
"m1","region","male","Sjælland","2012",16655,7345,16707,7480
"m1","region","male","Sjælland","2013",16568,7188,16659,7338
"m1","region","male","Sjælland","2014",16984,7230,16736,7251
"m1","region","male","Sjælland","2015",16669,6969,16740,7127
"m1","region","male","Sjælland","2016",16736,6858,16796,7016
"m1","region","male","Syddanmark","2007",24390,8250,14117,NA
"m1","region","male","Syddanmark","2008",24629,8140,19351,NA
"m1","region","male","Syddanmark","2009",23992,7805,24337,8061
"m1","region","male","Syddanmark","2010",23921,7661,24181,7865
"m1","region","male","Syddanmark","2011",23922,7530,23945,7662
"m1","region","male","Syddanmark","2012",23542,7295,23795,7491
"m1","region","male","Syddanmark","2013",23282,7104,23582,7306
"m1","region","male","Syddanmark","2014",23553,7074,23459,7153
"m1","region","male","Syddanmark","2015",22931,6790,23255,6986
"m1","region","male","Syddanmark","2016",22590,6592,23025,6816
"m1","region","male","Unknown","2007",NA,NA,NA,NA
"m1","region","male","Unknown","2008",NA,NA,NA,NA
"m1","region","male","Unknown","2009",NA,NA,NA,NA
"m1","region","male","Unknown","2010",NA,NA,NA,NA
"m1","region","male","Unknown","2011",NA,NA,NA,NA
"m1","region","male","Unknown","2012",NA,NA,NA,NA
"m1","region","male","Unknown","2013",NA,NA,NA,NA
"m1","region","male","Unknown","2014",NA,NA,NA,NA
"m1","region","male","Unknown","2015",NA,NA,NA,NA
"m1","region","male","Unknown","2016",NA,NA,NA,NA
"m2","age","female","35 - 44","2004",3939,980,NA,NA
"m2","age","female","35 - 44","2005",4272,1061,NA,NA
"m2","age","female","35 - 44","2006",4685,1166,NA,NA
"m2","age","female","35 - 44","2007",5077,1261,NA,NA
"m2","age","female","35 - 44","2008",5424,1343,NA,NA
"m2","age","female","35 - 44","2009",5362,1335,NA,NA
"m2","age","female","35 - 44","2010",5311,1332,NA,NA
"m2","age","female","35 - 44","2011",5210,1318,NA,NA
"m2","age","female","35 - 44","2012",5044,1304,NA,NA
"m2","age","female","35 - 44","2013",4856,1277,NA,NA
"m2","age","female","35 - 44","2014",4952,1313,NA,NA
"m2","age","female","35 - 44","2015",4707,1255,NA,NA
"m2","age","female","35 - 44","2016",4561,1225,NA,NA
"m2","age","female","45 - 54","2004",12813,3537,NA,NA
"m2","age","female","45 - 54","2005",13531,3739,NA,NA
"m2","age","female","45 - 54","2006",14506,3999,NA,NA
"m2","age","female","45 - 54","2007",15367,4207,NA,NA
"m2","age","female","45 - 54","2008",16392,4454,NA,NA
"m2","age","female","45 - 54","2009",16356,4386,NA,NA
"m2","age","female","45 - 54","2010",16401,4329,NA,NA
"m2","age","female","45 - 54","2011",16517,4282,NA,NA
"m2","age","female","45 - 54","2012",16474,4189,NA,NA
"m2","age","female","45 - 54","2013",15926,3997,NA,NA
"m2","age","female","45 - 54","2014",15524,3874,NA,NA
"m2","age","female","45 - 54","2015",15179,3774,NA,NA
"m2","age","female","45 - 54","2016",14740,3659,NA,NA
"m2","age","female","55 - 64","2004",33454,9625,NA,NA
"m2","age","female","55 - 64","2005",35732,10077,NA,NA
"m2","age","female","55 - 64","2006",38644,10719,NA,NA
"m2","age","female","55 - 64","2007",40759,11185,NA,NA
"m2","age","female","55 - 64","2008",42725,11686,NA,NA
"m2","age","female","55 - 64","2009",42907,11737,NA,NA
"m2","age","female","55 - 64","2010",42528,11730,NA,NA
"m2","age","female","55 - 64","2011",41864,11684,NA,NA
"m2","age","female","55 - 64","2012",40307,11403,NA,NA
"m2","age","female","55 - 64","2013",38557,11031,NA,NA
"m2","age","female","55 - 64","2014",36964,10615,NA,NA
"m2","age","female","55 - 64","2015",35908,10305,NA,NA
"m2","age","female","55 - 64","2016",34937,9983,NA,NA
"m2","age","female","65 - 74","2004",52538,23111,NA,NA
"m2","age","female","65 - 74","2005",54988,23877,NA,NA
"m2","age","female","65 - 74","2006",58104,24783,NA,NA
"m2","age","female","65 - 74","2007",60815,25420,NA,NA
"m2","age","female","65 - 74","2008",63779,25808,NA,NA
"m2","age","female","65 - 74","2009",65656,25511,NA,NA
"m2","age","female","65 - 74","2010",67953,25228,NA,NA
"m2","age","female","65 - 74","2011",70601,25014,NA,NA
"m2","age","female","65 - 74","2012",72544,24516,NA,NA
"m2","age","female","65 - 74","2013",73064,23752,NA,NA
"m2","age","female","65 - 74","2014",72832,23015,NA,NA
"m2","age","female","65 - 74","2015",72991,22562,NA,NA
"m2","age","female","65 - 74","2016",73145,22193,NA,NA
"m2","age","female","75 - 84","2004",63370,38011,NA,NA
"m2","age","female","75 - 84","2005",65410,39386,NA,NA
"m2","age","female","75 - 84","2006",66306,40537,NA,NA
"m2","age","female","75 - 84","2007",67257,41603,NA,NA
"m2","age","female","75 - 84","2008",68267,42501,NA,NA
"m2","age","female","75 - 84","2009",68316,42825,NA,NA
"m2","age","female","75 - 84","2010",68583,43117,NA,NA
"m2","age","female","75 - 84","2011",69100,43322,NA,NA
"m2","age","female","75 - 84","2012",69535,43163,NA,NA
"m2","age","female","75 - 84","2013",69202,42279,NA,NA
"m2","age","female","75 - 84","2014",69467,41525,NA,NA
"m2","age","female","75 - 84","2015",70035,40853,NA,NA
"m2","age","female","75 - 84","2016",70797,40090,NA,NA
"m2","age","female","85+","2004",30257,43421,NA,NA
"m2","age","female","85+","2005",31614,45201,NA,NA
"m2","age","female","85+","2006",33691,46641,NA,NA
"m2","age","female","85+","2007",35273,47841,NA,NA
"m2","age","female","85+","2008",36397,49004,NA,NA
"m2","age","female","85+","2009",37320,49625,NA,NA
"m2","age","female","85+","2010",38330,50478,NA,NA
"m2","age","female","85+","2011",38991,50941,NA,NA
"m2","age","female","85+","2012",39625,51330,NA,NA
"m2","age","female","85+","2013",39786,51082,NA,NA
"m2","age","female","85+","2014",39814,50921,NA,NA
"m2","age","female","85+","2015",40062,50843,NA,NA
"m2","age","female","85+","2016",39770,50370,NA,NA
"m2","age","male","35 - 44","2004",5479,1309,NA,NA
"m2","age","male","35 - 44","2005",5807,1388,NA,NA
"m2","age","male","35 - 44","2006",6216,1492,NA,NA
"m2","age","male","35 - 44","2007",6579,1577,NA,NA
"m2","age","male","35 - 44","2008",6935,1662,NA,NA
"m2","age","male","35 - 44","2009",6995,1690,NA,NA
"m2","age","male","35 - 44","2010",6891,1689,NA,NA
"m2","age","male","35 - 44","2011",6657,1655,NA,NA
"m2","age","male","35 - 44","2012",6384,1627,NA,NA
"m2","age","male","35 - 44","2013",6089,1583,NA,NA
"m2","age","male","35 - 44","2014",5881,1546,NA,NA
"m2","age","male","35 - 44","2015",5716,1511,NA,NA
"m2","age","male","35 - 44","2016",5595,1487,NA,NA
"m2","age","male","45 - 54","2004",21288,5764,NA,NA
"m2","age","male","45 - 54","2005",22335,6051,NA,NA
"m2","age","male","45 - 54","2006",23741,6409,NA,NA
"m2","age","male","45 - 54","2007",24770,6645,NA,NA
"m2","age","male","45 - 54","2008",25653,6820,NA,NA
"m2","age","male","45 - 54","2009",25774,6759,NA,NA
"m2","age","male","45 - 54","2010",25865,6664,NA,NA
"m2","age","male","45 - 54","2011",25984,6585,NA,NA
"m2","age","male","45 - 54","2012",25921,6440,NA,NA
"m2","age","male","45 - 54","2013",25523,6260,NA,NA
"m2","age","male","45 - 54","2014",25117,6125,NA,NA
"m2","age","male","45 - 54","2015",24905,6046,NA,NA
"m2","age","male","45 - 54","2016",24612,5971,NA,NA
"m2","age","male","55 - 64","2004",54849,15760,NA,NA
"m2","age","male","55 - 64","2005",59264,16721,NA,NA
"m2","age","male","55 - 64","2006",63548,17649,NA,NA
"m2","age","male","55 - 64","2007",67351,18508,NA,NA
"m2","age","male","55 - 64","2008",69926,19185,NA,NA
"m2","age","male","55 - 64","2009",70210,19262,NA,NA
"m2","age","male","55 - 64","2010",69396,19248,NA,NA
"m2","age","male","55 - 64","2011",68182,19173,NA,NA
"m2","age","male","55 - 64","2012",65916,18821,NA,NA
"m2","age","male","55 - 64","2013",63473,18334,NA,NA
"m2","age","male","55 - 64","2014",61895,17949,NA,NA
"m2","age","male","55 - 64","2015",60808,17599,NA,NA
"m2","age","male","55 - 64","2016",60342,17334,NA,NA
"m2","age","male","65 - 74","2004",65068,32190,NA,NA
"m2","age","male","65 - 74","2005",68938,33381,NA,NA
"m2","age","male","65 - 74","2006",73695,34793,NA,NA
"m2","age","male","65 - 74","2007",77756,35699,NA,NA
"m2","age","male","65 - 74","2008",82845,36472,NA,NA
"m2","age","male","65 - 74","2009",86929,36582,NA,NA
"m2","age","male","65 - 74","2010",91553,36569,NA,NA
"m2","age","male","65 - 74","2011",96811,36632,NA,NA
"m2","age","male","65 - 74","2012",101156,36310,NA,NA
"m2","age","male","65 - 74","2013",104247,35850,NA,NA
"m2","age","male","65 - 74","2014",106429,35523,NA,NA
"m2","age","male","65 - 74","2015",109047,35631,NA,NA
"m2","age","male","65 - 74","2016",111197,35720,NA,NA
"m2","age","male","75 - 84","2004",50884,45226,NA,NA
"m2","age","male","75 - 84","2005",53332,47021,NA,NA
"m2","age","male","75 - 84","2006",55284,48651,NA,NA
"m2","age","male","75 - 84","2007",57304,50252,NA,NA
"m2","age","male","75 - 84","2008",59206,51496,NA,NA
"m2","age","male","75 - 84","2009",60398,51986,NA,NA
"m2","age","male","75 - 84","2010",62096,52688,NA,NA
"m2","age","male","75 - 84","2011",64247,53483,NA,NA
"m2","age","male","75 - 84","2012",66291,53769,NA,NA
"m2","age","male","75 - 84","2013",68049,53627,NA,NA
"m2","age","male","75 - 84","2014",70069,53366,NA,NA
"m2","age","male","75 - 84","2015",72540,53194,NA,NA
"m2","age","male","75 - 84","2016",75210,52867,NA,NA
"m2","age","male","85+","2004",13370,46626,NA,NA
"m2","age","male","85+","2005",14073,48716,NA,NA
"m2","age","male","85+","2006",15391,51065,NA,NA
"m2","age","male","85+","2007",16421,52623,NA,NA
"m2","age","male","85+","2008",17203,53852,NA,NA
"m2","age","male","85+","2009",17891,54721,NA,NA
"m2","age","male","85+","2010",18744,55861,NA,NA
"m2","age","male","85+","2011",19521,56563,NA,NA
"m2","age","male","85+","2012",20335,57126,NA,NA
"m2","age","male","85+","2013",20934,57117,NA,NA
"m2","age","male","85+","2014",21696,57476,NA,NA
"m2","age","male","85+","2015",22674,58161,NA,NA
"m2","age","male","85+","2016",23295,58439,NA,NA
"m2","edu","female","Basic","2004",80048,10837,NA,NA
"m2","edu","female","Basic","2005",81655,11323,NA,NA
"m2","edu","female","Basic","2006",83565,11873,81756,11336
"m2","edu","female","Basic","2007",84762,12349,83327,11841
"m2","edu","female","Basic","2008",85668,12786,84665,12328
"m2","edu","female","Basic","2009",84703,12883,85044,12668
"m2","edu","female","Basic","2010",83778,12983,84716,12882
"m2","edu","female","Basic","2011",82774,13041,83752,12968
"m2","edu","female","Basic","2012",81071,13002,82541,13009
"m2","edu","female","Basic","2013",78072,12748,80639,12932
"m2","edu","female","Basic","2014",75190,12487,78111,12749
"m2","edu","female","Basic","2015",72560,12267,75274,12505
"m2","edu","female","Basic","2016",69982,12047,72577,12271
"m2","edu","female","Postgraduate","2004",1653,6464,NA,NA
"m2","edu","female","Postgraduate","2005",1836,6588,NA,NA
"m2","edu","female","Postgraduate","2006",2074,6882,1854,6650
"m2","edu","female","Postgraduate","2007",2340,7154,2083,6893
"m2","edu","female","Postgraduate","2008",2692,7533,2369,7209
"m2","edu","female","Postgraduate","2009",2778,7074,2603,7249
"m2","edu","female","Postgraduate","2010",2949,7028,2806,7200
"m2","edu","female","Postgraduate","2011",3199,7015,2975,7038
"m2","edu","female","Postgraduate","2012",3438,6974,3195,7004
"m2","edu","female","Postgraduate","2013",3577,6554,3405,6832
"m2","edu","female","Postgraduate","2014",3737,6348,3584,6602
"m2","edu","female","Postgraduate","2015",3973,6275,3762,6384
"m2","edu","female","Postgraduate","2016",4131,5948,3947,6177
"m2","edu","female","Secondary","2004",37053,9066,NA,NA
"m2","edu","female","Secondary","2005",39987,9421,NA,NA
"m2","edu","female","Secondary","2006",43727,9855,40256,9456
"m2","edu","female","Secondary","2007",47036,10189,43583,9829
"m2","edu","female","Secondary","2008",50658,10502,47140,10188
"m2","edu","female","Secondary","2009",52699,10493,50131,10396
"m2","edu","female","Secondary","2010",54771,10517,52709,10502
"m2","edu","female","Secondary","2011",56953,10537,54808,10515
"m2","edu","female","Secondary","2012",58178,10381,56634,10476
"m2","edu","female","Secondary","2013",58653,10075,57928,10323
"m2","edu","female","Secondary","2014",59230,9821,58687,10082
"m2","edu","female","Secondary","2015",59757,9592,59213,9821
"m2","edu","female","Secondary","2016",60345,9370,59777,9587
"m2","edu","female","Tertiary","2004",13814,7560,NA,NA
"m2","edu","female","Tertiary","2005",15184,7838,NA,NA
"m2","edu","female","Tertiary","2006",16963,8258,15320,7897
"m2","edu","female","Tertiary","2007",18586,8547,16911,8227
"m2","edu","female","Tertiary","2008",20346,8793,18632,8542
"m2","edu","female","Tertiary","2009",21408,8727,20113,8692
"m2","edu","female","Tertiary","2010",22475,8657,21410,8722
"m2","edu","female","Tertiary","2011",23705,8635,22529,8670
"m2","edu","female","Tertiary","2012",24601,8481,23594,8588
"m2","edu","female","Tertiary","2013",25038,8164,24448,8417
"m2","edu","female","Tertiary","2014",25680,7915,25106,8174
"m2","edu","female","Tertiary","2015",26252,7704,25657,7918
"m2","edu","female","Tertiary","2016",26998,7533,26310,7710
"m2","edu","female","Unknown","2004",2784,8905,NA,NA
"m2","edu","female","Unknown","2005",3004,9503,NA,NA
"m2","edu","female","Unknown","2006",3290,10139,3026,9526
"m2","edu","female","Unknown","2007",3480,10452,3258,10037
"m2","edu","female","Unknown","2008",3788,10975,3519,10537
"m2","edu","female","Unknown","2009",3626,10857,3631,10784
"m2","edu","female","Unknown","2010",3749,11012,3721,10954
"m2","edu","female","Unknown","2011",3777,10977,3717,10945
"m2","edu","female","Unknown","2012",3785,10800,3770,10926
"m2","edu","female","Unknown","2013",3752,10411,3771,10723
"m2","edu","female","Unknown","2014",3760,10064,3766,10424
"m2","edu","female","Unknown","2015",3803,9822,3772,10096
"m2","edu","female","Unknown","2016",3790,9546,3784,9805
"m2","edu","male","Basic","2004",70299,14579,NA,NA
"m2","edu","male","Basic","2005",72555,15252,NA,NA
"m2","edu","male","Basic","2006",75036,15983,72630,15266
"m2","edu","male","Basic","2007",77056,16638,74882,15951
"m2","edu","male","Basic","2008",78707,17229,76933,16610
"m2","edu","male","Basic","2009",78843,17426,78202,17094
"m2","edu","male","Basic","2010",78922,17611,78824,17420
"m2","edu","male","Basic","2011",78807,17689,78857,17574
"m2","edu","male","Basic","2012",78230,17659,78653,17652
"m2","edu","male","Basic","2013",77104,17523,78047,17624
"m2","edu","male","Basic","2014",75904,17349,77079,17511
"m2","edu","male","Basic","2015",75211,17298,76073,17391
