"outcome","aggr_level","sex","grouping","year","count_n_patients","rate_n_patients","mean3y_count_n_patients","mean3y_rate_n_patients"
"m1","age","male","55 - 64","2009",23186,6361,NA,NA
"m1","age","male","55 - 64","2010",22464,6231,NA,NA
"m1","age","male","55 - 64","2011",22073,6207,NA,NA
"m1","age","male","55 - 64","2012",21085,6021,NA,NA
"m1","age","male","55 - 64","2013",20079,5800,NA,NA
"m1","age","male","55 - 64","2014",20542,5957,NA,NA
"m1","age","male","55 - 64","2015",19845,5744,NA,NA
"m1","age","male","55 - 64","2016",19686,5655,NA,NA
"m1","age","male","65 - 74","2004",25597,12663,NA,NA
"m1","age","male","65 - 74","2005",25158,12182,NA,NA
"m1","age","male","65 - 74","2006",25327,11957,NA,NA
"m1","age","male","65 - 74","2007",25125,11535,NA,NA
"m1","age","male","65 - 74","2008",25332,11152,NA,NA
"m1","age","male","65 - 74","2009",25157,10587,NA,NA
"m1","age","male","65 - 74","2010",25655,10247,NA,NA
"m1","age","male","65 - 74","2011",26362,9975,NA,NA
"m1","age","male","65 - 74","2012",26757,9604,NA,NA
"m1","age","male","65 - 74","2013",26925,9259,NA,NA
"m1","age","male","65 - 74","2014",27472,9169,NA,NA
"m1","age","male","65 - 74","2015",27076,8847,NA,NA
"m1","age","male","65 - 74","2016",26849,8625,NA,NA
"m1","age","male","75 - 84","2004",23535,20918,NA,NA
"m1","age","male","75 - 84","2005",22858,20153,NA,NA
"m1","age","male","75 - 84","2006",21922,19292,NA,NA
"m1","age","male","75 - 84","2007",21287,18667,NA,NA
"m1","age","male","75 - 84","2008",20741,18040,NA,NA
"m1","age","male","75 - 84","2009",20365,17529,NA,NA
"m1","age","male","75 - 84","2010",20086,17043,NA,NA
"m1","age","male","75 - 84","2011",19735,16429,NA,NA
"m1","age","male","75 - 84","2012",19170,15549,NA,NA
"m1","age","male","75 - 84","2013",19072,15030,NA,NA
"m1","age","male","75 - 84","2014",19186,14612,NA,NA
"m1","age","male","75 - 84","2015",19043,13964,NA,NA
"m1","age","male","75 - 84","2016",19116,13437,NA,NA
"m1","age","male","85+","2004",7585,26452,NA,NA
"m1","age","male","85+","2005",7453,25800,NA,NA
"m1","age","male","85+","2006",7712,25587,NA,NA
"m1","age","male","85+","2007",7792,24970,NA,NA
"m1","age","male","85+","2008",7641,23919,NA,NA
"m1","age","male","85+","2009",7624,23319,NA,NA
"m1","age","male","85+","2010",7499,22348,NA,NA
"m1","age","male","85+","2011",7512,21766,NA,NA
"m1","age","male","85+","2012",7496,21058,NA,NA
"m1","age","male","85+","2013",7316,19961,NA,NA
"m1","age","male","85+","2014",7368,19519,NA,NA
"m1","age","male","85+","2015",7346,18843,NA,NA
"m1","age","male","85+","2016",7328,18383,NA,NA
"m1","edu","female","Basic","2004",45345,6782,NA,NA
"m1","edu","female","Basic","2005",42900,6619,NA,NA
"m1","edu","female","Basic","2006",41640,6622,43295,6675
"m1","edu","female","Basic","2007",39477,6473,41339,6572
"m1","edu","female","Basic","2008",38626,6528,39914,6541
"m1","edu","female","Basic","2009",36590,6349,38231,6450
"m1","edu","female","Basic","2010",35075,6275,36764,6385
"m1","edu","female","Basic","2011",34063,6268,35243,6296
"m1","edu","female","Basic","2012",32454,6127,33864,6223
"m1","edu","female","Basic","2013",30913,6006,32477,6136
"m1","edu","female","Basic","2014",30116,6022,31161,6051
"m1","edu","female","Basic","2015",28380,5876,29803,5967
"m1","edu","female","Basic","2016",27172,5824,28556,5907
"m1","edu","female","Postgraduate","2004",2914,5770,NA,NA
"m1","edu","female","Postgraduate","2005",3013,5479,NA,NA
"m1","edu","female","Postgraduate","2006",3398,5606,3108,5613
"m1","edu","female","Postgraduate","2007",3568,5548,3326,5542
"m1","edu","female","Postgraduate","2008",4002,5581,3656,5581
"m1","edu","female","Postgraduate","2009",4204,5560,3925,5560
"m1","edu","female","Postgraduate","2010",4553,5469,4253,5532
"m1","edu","female","Postgraduate","2011",4825,5345,4527,5451
"m1","edu","female","Postgraduate","2012",5120,5235,4833,5340
"m1","edu","female","Postgraduate","2013",5310,5061,5085,5203
"m1","edu","female","Postgraduate","2014",5819,5206,5416,5165
"m1","edu","female","Postgraduate","2015",5952,4980,5694,5079
"m1","edu","female","Postgraduate","2016",6296,4894,6022,5014
"m1","edu","female","Secondary","2004",30055,6053,NA,NA
"m1","edu","female","Secondary","2005",30244,5914,NA,NA
"m1","edu","female","Secondary","2006",31233,5929,30511,5963
"m1","edu","female","Secondary","2007",31308,5800,30928,5879
"m1","edu","female","Secondary","2008",32708,5856,31750,5860
"m1","edu","female","Secondary","2009",33200,5789,32405,5812
"m1","edu","female","Secondary","2010",32937,5612,32948,5748
"m1","edu","female","Secondary","2011",34269,5697,33469,5697
"m1","edu","female","Secondary","2012",34201,5591,33802,5631
"m1","edu","female","Secondary","2013",34514,5534,34328,5603
"m1","edu","female","Secondary","2014",35651,5625,34789,5581
"m1","edu","female","Secondary","2015",34753,5415,34973,5522
"m1","edu","female","Secondary","2016",34448,5301,34951,5444
"m1","edu","female","Tertiary","2004",15433,5858,NA,NA
"m1","edu","female","Tertiary","2005",15912,5749,NA,NA
"m1","edu","female","Tertiary","2006",16972,5865,16106,5822
"m1","edu","female","Tertiary","2007",17232,5751,16705,5787
"m1","edu","female","Tertiary","2008",18514,5873,17573,5829
"m1","edu","female","Tertiary","2009",19174,5797,18307,5805
"m1","edu","female","Tertiary","2010",19283,5588,18990,5746
"m1","edu","female","Tertiary","2011",20146,5613,19534,5662
"m1","edu","female","Tertiary","2012",20775,5586,20068,5595
"m1","edu","female","Tertiary","2013",21217,5500,20713,5562
"m1","edu","female","Tertiary","2014",22218,5582,21403,5553
"m1","edu","female","Tertiary","2015",22247,5417,21894,5496
"m1","edu","female","Tertiary","2016",22288,5276,22251,5419
"m1","edu","female","Unknown","2004",2177,6753,NA,NA
"m1","edu","female","Unknown","2005",2125,6565,NA,NA
"m1","edu","female","Unknown","2006",2195,6570,2166,6629
"m1","edu","female","Unknown","2007",2275,6581,2198,6575
"m1","edu","female","Unknown","2008",2333,6404,2268,6520
"m1","edu","female","Unknown","2009",2126,6073,2245,6358
"m1","edu","female","Unknown","2010",2173,5981,2211,6157
"m1","edu","female","Unknown","2011",2219,5834,2173,5965
"m1","edu","female","Unknown","2012",2280,5796,2224,5871
"m1","edu","female","Unknown","2013",2263,5506,2254,5709
"m1","edu","female","Unknown","2014",2406,5474,2316,5588
"m1","edu","female","Unknown","2015",2446,5212,2372,5395
"m1","edu","female","Unknown","2016",2582,5096,2478,5257
"m1","edu","male","Basic","2004",33628,7106,NA,NA
"m1","edu","male","Basic","2005",32237,6918,NA,NA
"m1","edu","male","Basic","2006",31483,6860,32449,6963
"m1","edu","male","Basic","2007",29983,6634,31234,6805
"m1","edu","male","Basic","2008",29447,6616,30304,6704
"m1","edu","male","Basic","2009",28496,6475,29309,6575
"m1","edu","male","Basic","2010",27879,6422,28607,6505
"m1","edu","male","Basic","2011",27014,6288,27796,6395
"m1","edu","male","Basic","2012",26197,6168,27030,6293
"m1","edu","male","Basic","2013",25321,6030,26177,6162
"m1","edu","male","Basic","2014",25241,6097,25586,6096
"m1","edu","male","Basic","2015",24183,5922,24915,6015
"m1","edu","male","Basic","2016",23417,5802,24280,5941
"m1","edu","male","Postgraduate","2004",5212,5654,NA,NA
"m1","edu","male","Postgraduate","2005",5261,5500,NA,NA
"m1","edu","male","Postgraduate","2006",5398,5396,5290,5513
"m1","edu","male","Postgraduate","2007",5428,5259,5362,5383
"m1","edu","male","Postgraduate","2008",5781,5330,5536,5327
"m1","edu","male","Postgraduate","2009",5820,5124,5676,5234
"m1","edu","male","Postgraduate","2010",6041,5117,5881,5187
"m1","edu","male","Postgraduate","2011",6307,5127,6056,5123
"m1","edu","male","Postgraduate","2012",6349,4894,6232,5042
"m1","edu","male","Postgraduate","2013",6503,4820,6386,4941
"m1","edu","male","Postgraduate","2014",6742,4803,6531,4837
"m1","edu","male","Postgraduate","2015",6757,4663,6667,4760
"m1","edu","male","Postgraduate","2016",6871,4570,6790,4674
"m1","edu","male","Secondary","2004",38132,6628,NA,NA
"m1","edu","male","Secondary","2005",37819,6381,NA,NA
"m1","edu","male","Secondary","2006",38659,6343,38203,6447
"m1","edu","male","Secondary","2007",38527,6187,38335,6301
"m1","edu","male","Secondary","2008",39461,6146,38882,6223
"m1","edu","male","Secondary","2009",39298,5964,39095,6095
"m1","edu","male","Secondary","2010",39447,5832,39402,5976
"m1","edu","male","Secondary","2011",40112,5806,39619,5864
"m1","edu","male","Secondary","2012",40024,5675,39861,5768
"m1","edu","male","Secondary","2013",39962,5554,40033,5674
"m1","edu","male","Secondary","2014",40769,5556,40252,5591
"m1","edu","male","Secondary","2015",39926,5365,40219,5489
"m1","edu","male","Secondary","2016",39679,5254,40125,5389
"m1","edu","male","Tertiary","2004",11706,6184,NA,NA
"m1","edu","male","Tertiary","2005",11802,6001,NA,NA
"m1","edu","male","Tertiary","2006",12205,5933,11904,6035
"m1","edu","male","Tertiary","2007",12473,5846,12160,5924
"m1","edu","male","Tertiary","2008",13202,5925,12627,5900
"m1","edu","male","Tertiary","2009",13136,5685,12937,5813
"m1","edu","male","Tertiary","2010",13372,5574,13237,5721
"m1","edu","male","Tertiary","2011",13700,5514,13403,5588
"m1","edu","male","Tertiary","2012",13939,5408,13670,5494
"m1","edu","male","Tertiary","2013",14095,5273,13911,5392
"m1","edu","male","Tertiary","2014",14789,5358,14274,5342
"m1","edu","male","Tertiary","2015",14392,5090,14425,5237
"m1","edu","male","Tertiary","2016",14205,4905,14462,5112
"m1","edu","male","Unknown","2004",2286,6487,NA,NA
"m1","edu","male","Unknown","2005",2323,6496,NA,NA
"m1","edu","male","Unknown","2006",2374,6436,2328,6470
"m1","edu","male","Unknown","2007",2363,6098,2353,6334
"m1","edu","male","Unknown","2008",2540,6127,2426,6208
"m1","edu","male","Unknown","2009",2256,5655,2386,5971
"m1","edu","male","Unknown","2010",2250,5472,2349,5766
"m1","edu","male","Unknown","2011",2278,5331,2261,5482
"m1","edu","male","Unknown","2012",2326,5217,2285,5336
"m1","edu","male","Unknown","2013",2305,4981,2303,5178
"m1","edu","male","Unknown","2014",2453,4945,2361,5058
"m1","edu","male","Unknown","2015",2570,4845,2443,4925
"m1","edu","male","Unknown","2016",2697,4577,2573,4787
"m1","kom","female","Aabenraa","2007",1464,8139,NA,NA
"m1","kom","female","Aabenraa","2008",1415,7804,NA,NA
"m1","kom","female","Aabenraa","2009",1391,7626,1423,7853
"m1","kom","female","Aabenraa","2010",1388,7531,1398,7653
"m1","kom","female","Aabenraa","2011",1355,7279,1378,7478
"m1","kom","female","Aabenraa","2012",1353,7253,1365,7350
"m1","kom","female","Aabenraa","2013",1350,7177,1353,7235
"m1","kom","female","Aabenraa","2014",1335,7053,1346,7161
"m1","kom","female","Aabenraa","2015",1318,6896,1334,7039
"m1","kom","female","Aabenraa","2016",1298,6715,1317,6885
"m1","kom","female","Aalborg","2007",4448,8170,NA,NA
"m1","kom","female","Aalborg","2008",4435,8102,NA,NA
"m1","kom","female","Aalborg","2009",4238,7707,4374,7991
"m1","kom","female","Aalborg","2010",4260,7691,4311,7832
"m1","kom","female","Aalborg","2011",4147,7446,4215,7612
"m1","kom","female","Aalborg","2012",4057,7222,4155,7449
"m1","kom","female","Aalborg","2013",4063,7167,4089,7275
"m1","kom","female","Aalborg","2014",4058,7116,4059,7166
"m1","kom","female","Aalborg","2015",3937,6820,4019,7033
"m1","kom","female","Aalborg","2016",3854,6654,3950,6861
"m1","kom","female","Aarhus","2007",6520,8837,NA,NA
