"sex","age_group","year","count"
"male","65 - 74",2018,314353
"male","75 - 84",2018,156815
"male","85+",2018,41295
"female","35 - 44",2018,356889
"female","45 - 54",2018,404811
"female","55 - 64",2018,356273
"female","65 - 74",2018,333368
"female","75 - 84",2018,190759
"female","85+",2018,79473
"male","35 - 44",2019,354771
"male","45 - 54",2019,408131
"male","55 - 64",2019,358343
"male","65 - 74",2019,314798
"male","75 - 84",2019,165608
"male","85+",2019,42114
"female","35 - 44",2019,350681
"female","45 - 54",2019,402733
"female","55 - 64",2019,361321
"female","65 - 74",2019,333726
"female","75 - 84",2019,200273
"female","85+",2019,79544
